Flight Date/Time,Model,Aircraft ID,Route,Takeoffs (D/N),Full Stop (D/N),Inst App (D/N),SE,ME,Complex,Turbine,Rotorcraft,Sim/FTD,X/Ctry,Actual Inst (D/N),Sim Inst (D/N),Total Time (D/N),PIC Time (D/N),Dual Received,As Instructor,Flight Remarks
"Jun 12, 1999",23,PH-MBS,EHLE,11,11,,4.6,,,,,, ,,,4.6,4.6,,4.6,
"Jun 6, 1999",DA-20,PH-USJ,EHLE,7,7,,2.4,,,,,, ,,,2.4,2.4,,2.4,
"Jun 5, 1999",172,PH-JBB,EHLE,6,6,,2.0,,,,,, ,,,2.0,2.0,,2.0,
"Jun 4, 1999",172,PH-JBB,EHLE,2,2,,1.0,,,,,, ,,,1.0,1.0,,,
"May 31, 1999",DA-20,PH-USJ,EHLE,,,,0.5,,,,,, ,,,0.5,0.5,,0.5,
"May 29, 1999",172,PH-AMB,EHLE,1,1,,1.0,,,,,, ,,,1.0,1.0,,1.0,
"May 29, 1999",DA-20,PH-USJ,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,0.5,
"May 29, 1999",DA-20,PH-USJ,EHLE,1,1,,0.5,,,,,, ,,,0.5,0.5,,0.5,
"May 21, 1999",172,PH-AMB,EHAL - EHHV - EHAL,2,2,,1.9,,,,,,1.9,,,1.9,1.9,,,
"May 21, 1999",172,PH-AMB,EHAL - EHLE - EHHV - EHAL,3,3,,2.2,,,,,,2.2,,,2.2,2.2,,,
"May 21, 1999",172,PH-AMB,EHAL - EHLE,1,1,,0.9,,,,,,0.9,,,0.9,0.9,,,
"May 21, 1999",172,PH-AMB,EHLE,1,1,,0.4,,,,,, ,,,0.4,0.4,,,WINGS PHOTOFLIGHT
"May 20, 1999",172,PH-AMB,EHAL,1,1,,0.7,,,,,, ,,,0.7,0.7,,,
"May 19, 1999",172,PH-AMB,EHLE - EHHV,1,1,,0.4,,,,,,0.4,,,0.4,0.4,,,
"May 19, 1999",172,PH-AMB,EHHV - EHAL - EHHV,2,2,,2.0,,,,,,2.0,,,2.0,2.0,,,
